                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0586,                 1.3741,                 4.5797,                0.99428,                0.18631,                0.67088,                 0.2649,                0.21639,                0.17576,                0.73311,                 0.2789,                0.18279,                0.90354,                 1.2222,                 18.917,                 0.9726,               0.000231,               0.000231,               0.000231
                      2,                0.83379,                0.93439,                  1.542,                0.96029,                0.36776,                 0.5279,                0.40679,                0.30127,                0.38769,                 0.5396,                0.42258,                0.27899,                 1.0655,                 2.2867,                 7.4949,                 1.2107,             0.00046668,             0.00046668,             0.00046668
                      3,                0.95561,                 1.0733,                 1.2907,                 1.0521,                0.29365,                0.10464,                0.08238,                0.05381,                0.29195,                0.09584,                0.08067,                0.04229,                 2.1138,                 18.513,                    inf,                 3.4714,                 0.0007,                 0.0007,                 0.0007
                      4,                0.99697,                 1.0456,                 1.2075,                 1.0801,                0.66979,                0.11259,                0.09235,                0.06117,                 0.6681,                0.11324,                0.09077,                0.05455,                 1.6003,                 2.6723,                 6.2776,                  1.532,              0.0007034,              0.0007034,              0.0007034
                      5,                0.96742,                 1.0782,                 1.1468,                 1.0272,                0.15883,                0.00452,                0.07791,                0.03667,                0.15556,                0.00514,                0.07986,                0.04259,                 2.6339,                 32.266,                 4.7122,                 2.2176,              0.0007034,              0.0007034,              0.0007034
                      6,                0.90911,                0.96221,                 1.0274,                 1.0385,                 0.4354,                0.64584,                0.50108,                0.37564,                0.46663,                0.66629,                0.52731,                0.34547,                 1.0319,                 1.2613,                 1.6769,                 1.1184,             0.00069986,             0.00069986,             0.00069986
                      7,                0.93656,                0.92703,                 1.0157,                 1.1038,                0.63203,                0.55028,                0.60337,                  0.453,                0.64813,                0.56302,                0.62982,                0.43377,                0.98406,                 1.1526,                  1.438,                 1.0972,             0.00069633,             0.00069633,             0.00069633
                      8,                0.89527,                0.94799,                0.94583,                 1.0414,                0.64045,                0.67016,                0.69914,                0.52162,                0.64681,                0.66308,                0.68583,                0.45941,                0.92486,                 1.2078,                 1.5788,                 1.0796,             0.00069279,             0.00069279,             0.00069279
                      9,                0.83467,                0.84897,                0.81359,                0.99889,                0.62847,                0.59066,                0.61259,                0.47465,                0.64315,                0.60057,                0.62929,                0.46799,                0.90859,                 1.1405,                 1.2263,                 1.0732,             0.00068926,             0.00068926,             0.00068926
                     10,                0.82619,                0.89265,                0.87124,                0.99312,                0.77313,                0.47014,                0.64549,                0.45713,                0.77075,                0.47751,                0.66008,                0.45796,                 1.0232,                 1.1546,                 1.6382,                 1.1237,             0.00068573,             0.00068573,             0.00068573
                     11,                0.77906,                0.81167,                 0.7407,                0.96961,                0.43736,                0.39231,                0.43666,                0.34502,                0.42299,                0.41539,                0.44011,                0.30868,                  1.079,                  2.503,                 2.4208,                 1.1481,             0.00068219,             0.00068219,             0.00068219
                     12,                0.84188,                0.92936,                 0.7943,                 1.0029,                0.75216,                0.53693,                0.65634,                0.48395,                0.75155,                0.55175,                 0.6778,                0.48038,                0.92531,                 1.1047,                 1.8483,                 1.0789,             0.00067866,             0.00067866,             0.00067866
                     13,                0.80795,                0.87154,                0.75804,                0.98697,                0.75138,                0.64867,                0.76464,                0.56784,                0.76584,                0.66695,                0.78581,                0.55128,                0.83063,                 1.0017,                0.90143,                 1.0236,             0.00067512,             0.00067512,             0.00067512
                     14,                0.77719,                 0.8159,                0.73203,                0.98177,                0.59281,                0.66859,                0.63718,                0.50666,                0.60657,                0.67716,                 0.6529,                 0.4782,                 0.8471,                0.99642,                 1.1278,                 1.0342,             0.00067159,             0.00067159,             0.00067159
                     15,                0.75292,                0.83873,                0.70994,                0.94526,                 0.6968,                0.71867,                 0.7714,                0.58712,                0.78931,                0.69137,                0.79658,                0.58232,                0.86935,                 1.1202,                0.86606,                 1.0528,             0.00066805,             0.00066805,             0.00066805
                     16,                0.75929,                 0.8254,                0.73613,                0.95816,                0.71627,                0.77537,                0.79273,                0.61919,                0.72604,                 0.7848,                0.80943,                0.59717,                0.81767,                0.91311,                0.91163,                 1.0196,             0.00066452,             0.00066452,             0.00066452
                     17,                0.73123,                0.81377,                 0.6574,                0.96211,                0.73785,                 0.8245,                0.84422,                0.66959,                0.74413,                0.83893,                0.86129,                0.66165,                0.77411,                0.86772,                0.73298,                0.98993,             0.00066099,             0.00066099,             0.00066099
