                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5073,                 8.7801,                 1.4668,                0.00311,                0.00884,                0.00169,                0.00116,                 1.4286,                 6.1934,                 1.5641,              9.282e-05,              9.282e-05,              9.282e-05
                      2,                  1.213,                 4.4316,                  1.296,                0.66721,                 0.5871,                0.63018,                   0.49,                0.97442,                 2.4387,                 1.1714,             0.00019087,             0.00019087,             0.00019087
                      3,                 0.9915,                 1.6703,                 1.1479,                0.77812,                0.67982,                0.77329,                  0.593,                 1.0368,                 1.3602,                 1.1926,             0.00028694,             0.00028694,             0.00028694
                      4,                0.91392,                 1.1015,                 1.0808,                0.79781,                0.63348,                0.74715,                0.55699,                 1.0856,                 1.2305,                 1.1989,             0.00038104,             0.00038104,             0.00038104
                      5,                0.91966,                 0.8978,                  1.071,                0.73821,                0.69918,                0.78202,                  0.582,                 1.0364,                 1.2817,                  1.154,             0.00047315,             0.00047315,             0.00047315
                      6,                0.90635,                0.78546,                  1.062,                0.78334,                0.58925,                0.75641,                 0.5719,                 1.0587,                 1.4728,                 1.1726,             0.00056329,             0.00056329,             0.00056329
                      7,                0.90905,                0.70287,                 1.0619,                0.62461,                0.39408,                0.53674,                0.37719,                 1.2338,                 2.0245,                 1.2547,             0.00065144,             0.00065144,             0.00065144
                      8,                0.89015,                0.69433,                 1.0601,                0.69364,                0.46933,                0.59585,                0.39684,                 1.2435,                 1.9551,                 1.2788,             0.00066452,             0.00066452,             0.00066452
                      9,                0.89382,                0.65264,                 1.0681,                0.72237,                0.58064,                   0.71,                0.55061,                 1.0241,                 1.4283,                 1.1226,             0.00066452,             0.00066452,             0.00066452
                     10,                0.83356,                 0.5978,                 1.0242,                0.73421,                0.63774,                0.73747,                0.57398,                 1.0055,                 1.2927,                 1.1008,             0.00065745,             0.00065745,             0.00065745
                     11,                0.81703,                0.56987,                 1.0048,                0.68578,                 0.6868,                0.71742,                 0.5525,                0.99906,                 1.3891,                 1.1163,             0.00065038,             0.00065038,             0.00065038
                     12,                0.80432,                0.56418,                   1.02,                0.82989,                0.85811,                0.89845,                0.69559,                0.85871,                0.83133,                 1.0406,             0.00064331,             0.00064331,             0.00064331
                     13,                0.80551,                0.53619,                 1.0055,                0.83539,                0.81853,                0.88154,                0.69216,                0.85926,                0.83209,                 1.0356,             0.00063625,             0.00063625,             0.00063625
                     14,                0.77737,                0.54068,                0.99791,                0.89537,                0.90343,                0.94815,                0.74116,                0.83945,                0.56221,                 1.0089,             0.00062918,             0.00062918,             0.00062918
                     15,                0.78231,                0.52354,                0.98455,                0.91819,                0.93922,                0.95328,                0.77039,                 0.8067,                0.53134,                0.99643,             0.00062211,             0.00062211,             0.00062211
                     16,                0.75616,                0.50129,                 0.9923,                0.93541,                0.91548,                0.95571,                0.77002,                0.80021,                0.52679,                0.99196,             0.00061504,             0.00061504,             0.00061504
                     17,                0.78969,                0.51433,                0.99155,                0.89693,                0.93164,                 0.9481,                0.75958,                0.81277,                0.55169,                 1.0101,             0.00060797,             0.00060797,             0.00060797
                     18,                0.74119,                0.46707,                0.98016,                 0.9355,                 0.9398,                0.96239,                0.78465,                0.79152,                0.50385,                0.99487,              0.0006009,              0.0006009,              0.0006009
                     19,                0.77329,                0.49447,                 1.0045,                0.92434,                0.94087,                0.96692,                0.78833,                0.76768,                0.51326,                0.97583,             0.00059383,             0.00059383,             0.00059383
                     20,                0.70635,                0.45875,                0.96744,                0.90156,                0.92858,                0.94451,                0.75975,                0.77101,                0.53009,                0.98997,             0.00058677,             0.00058677,             0.00058677
                     21,                0.70566,                0.44562,                0.95016,                0.93008,                0.95754,                0.96882,                0.79925,                0.74705,                0.47415,                0.96514,              0.0005797,              0.0005797,              0.0005797
                     22,                0.71015,                0.44966,                0.95807,                0.94348,                0.92737,                0.96427,                0.79404,                0.74624,                0.48489,                0.97153,             0.00057263,             0.00057263,             0.00057263
                     23,                0.70267,                0.43183,                0.96232,                0.95188,                0.95802,                0.97467,                0.80796,                0.74503,                0.44366,                 0.9615,             0.00056556,             0.00056556,             0.00056556
                     24,                0.70019,                0.43229,                0.95575,                0.95374,                 0.9519,                0.97776,                0.81008,                0.74838,                 0.4496,                0.96542,             0.00055849,             0.00055849,             0.00055849
                     25,                0.70806,                0.43494,                0.96907,                0.95759,                 0.9573,                 0.9746,                0.80863,                0.71569,                0.43592,                0.95011,             0.00055142,             0.00055142,             0.00055142
                     26,                0.68945,                0.42587,                0.94148,                0.94423,                0.96043,                0.97334,                0.81292,                0.71874,                 0.4336,                0.95941,             0.00054435,             0.00054435,             0.00054435
                     27,                0.66562,                0.42192,                0.94408,                0.95151,                0.96099,                0.97431,                0.80893,                0.72883,                0.42522,                0.95538,             0.00053728,             0.00053728,             0.00053728
                     28,                0.67705,                0.42476,                0.94275,                0.94461,                0.96322,                0.97338,                  0.805,                0.73355,                0.43395,                0.96076,             0.00053022,             0.00053022,             0.00053022
                     29,                0.66508,                0.41061,                0.94064,                  0.938,                0.97326,                0.97643,                0.81902,                0.72076,                0.42016,                0.95697,             0.00052315,             0.00052315,             0.00052315
                     30,                 0.6679,                0.40847,                0.93381,                0.94112,                0.95603,                0.96901,                0.81451,                0.70416,                0.42248,                0.94609,             0.00051608,             0.00051608,             0.00051608
