                  epoch,        train/giou_loss,         train/cls_loss,          train/l1_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),          val/giou_loss,           val/cls_loss,            val/l1_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.96083,                 33.213,                0.52443,                0.56733,                0.25994,                0.17696,                0.13648,                0.54945,                 1.3216,                0.33446,             0.00023523,             0.00023523,             0.00023523
                      2,                0.42422,                0.75287,                 0.2091,                0.63341,                0.68759,                0.68723,                0.48498,                0.44626,                0.87401,                0.20298,             0.00046803,             0.00046803,             0.00046803
                      3,                0.36473,                0.53067,                0.15296,                0.86491,                0.89131,                0.90874,                0.62462,                0.32675,                0.48158,                0.14347,             0.00069559,             0.00069559,             0.00069559
                      4,                0.34651,                0.46803,                0.13429,                0.88387,                0.87015,                0.91148,                0.66366,                0.31152,                0.48827,                0.13663,             0.00069044,             0.00069044,             0.00069044
                      5,                0.32561,                0.45191,                0.13062,                    nan,                  0.892,                0.86244,                0.65758,                    nan,                    nan,                    nan,             0.00069044,             0.00069044,             0.00069044
                      6,                0.31603,                0.43709,                 0.1229,                0.92058,                0.91398,                0.93797,                 0.6971,                0.29219,                0.38926,                0.12326,             0.00068258,             0.00068258,             0.00068258
                      7,                0.28962,                0.38808,                0.12309,                0.93628,                0.91219,                0.92311,                0.70701,                0.25823,                0.44901,                0.12378,             0.00067473,             0.00067473,             0.00067473
                      8,                0.30029,                0.41073,                0.11326,                0.92366,                 0.9069,                0.92877,                0.69164,                0.27274,                0.42513,                0.11942,             0.00066688,             0.00066688,             0.00066688
                      9,                0.28778,                0.38888,                0.12176,                0.92289,                0.91597,                0.95395,                0.72034,                0.25741,                0.38898,                0.11468,             0.00065902,             0.00065902,             0.00065902
                     10,                0.27645,                0.38455,                 0.1053,                0.94154,                0.94966,                0.96933,                0.75966,                0.24255,                0.35343,                0.10725,             0.00065117,             0.00065117,             0.00065117
                     11,                0.26531,                0.36235,                0.10387,                 0.9423,                0.94764,                0.96166,                0.76188,                0.23815,                0.36443,                0.10497,             0.00064331,             0.00064331,             0.00064331
                     12,                0.26795,                 0.3662,                0.10304,                0.94821,                0.94634,                 0.9692,                0.75374,                0.24675,                0.34958,                0.10291,             0.00063546,             0.00063546,             0.00063546
                     13,                0.25024,                0.34719,                0.09348,                0.94488,                0.95858,                0.97262,                0.77239,                0.23717,                0.35197,                 0.0974,             0.00062761,             0.00062761,             0.00062761
                     14,                0.26759,                0.36153,                0.10211,                0.92629,                0.92037,                0.92776,                0.70402,                0.26636,                0.41703,                0.11155,             0.00061975,             0.00061975,             0.00061975
                     15,                0.24878,                 0.3604,                0.09563,                0.92597,                0.93155,                0.97024,                0.75286,                0.25596,                 0.3724,                0.11498,              0.0006119,              0.0006119,              0.0006119
                     16,                0.26789,                0.35555,                0.10325,                0.94918,                0.94844,                0.97983,                0.78714,                0.22459,                0.33997,                0.09201,             0.00060404,             0.00060404,             0.00060404
                     17,                 0.2524,                0.36472,                0.09652,                0.92522,                0.93067,                0.95758,                0.75521,                0.24195,                0.37277,                0.10347,             0.00059619,             0.00059619,             0.00059619
                     18,                0.26677,                0.36894,                0.11106,                0.93589,                 0.9555,                0.96293,                0.77002,                0.23069,                0.35239,                0.09743,             0.00058834,             0.00058834,             0.00058834
                     19,                0.24462,                0.34847,                0.09814,                0.95019,                0.95854,                0.97243,                0.75384,                0.24187,                0.35608,                0.10925,             0.00058048,             0.00058048,             0.00058048
                     20,                0.24568,                0.36535,                0.09391,                0.94924,                0.96064,                0.97053,                0.77468,                0.22918,                0.33739,                0.09502,             0.00057263,             0.00057263,             0.00057263
                     21,                0.24737,                0.33271,                0.09404,                0.96404,                0.96673,                0.97846,                0.79585,                0.21144,                0.30988,                0.08714,             0.00056477,             0.00056477,             0.00056477
                     22,                0.23688,                0.33074,                0.08738,                0.95595,                0.94794,                0.96471,                0.78292,                0.21932,                0.32353,                0.09295,             0.00055692,             0.00055692,             0.00055692
                     23,                0.26435,                0.37824,                0.10571,                0.94758,                   0.96,                 0.9769,                0.77073,                0.24084,                0.33116,                0.10232,             0.00054907,             0.00054907,             0.00054907
                     24,                0.25315,                0.35442,                0.09504,                0.94599,                0.96408,                0.97184,                0.77739,                0.23354,                0.32497,                0.10072,             0.00054121,             0.00054121,             0.00054121
                     25,                0.23929,                0.32865,                0.09153,                0.93712,                  0.962,                0.97689,                0.79269,                0.22169,                0.32133,                0.09415,             0.00053336,             0.00053336,             0.00053336
                     26,                0.24322,                0.32406,                0.09055,                 0.9565,                0.96694,                0.97949,                  0.806,                0.20924,                0.30746,                0.08961,              0.0005255,              0.0005255,              0.0005255
                     27,                0.22887,                0.32841,                0.08452,                 0.9598,                0.96187,                0.97539,                0.79789,                0.21326,                0.31389,                0.09424,             0.00051765,             0.00051765,             0.00051765
                     28,                0.22736,                0.32553,                0.08443,                0.95249,                0.97198,                0.97831,                0.80697,                0.20662,                0.30901,                0.08626,              0.0005098,              0.0005098,              0.0005098
                     29,                0.22459,                0.32185,                0.07925,                0.95509,                 0.9734,                0.97945,                0.79308,                0.22178,                0.31653,                0.09716,             0.00050194,             0.00050194,             0.00050194
                     30,                0.21742,                0.31588,                 0.0817,                0.95057,                0.96273,                0.97709,                0.79976,                0.21313,                0.31675,                 0.0926,             0.00049409,             0.00049409,             0.00049409
                     31,                0.21494,                0.31924,                0.07794,                0.94096,                 0.9634,                0.97981,                0.79657,                 0.2157,                0.31781,                0.09128,             0.00048623,             0.00048623,             0.00048623
                     32,                0.22447,                0.33097,                0.08429,                0.95896,                0.95871,                0.97438,                0.80438,                0.21238,                0.32308,                0.09087,             0.00047838,             0.00047838,             0.00047838
                     33,                0.21828,                0.30667,                 0.0768,                0.95379,                0.95436,                0.97312,                0.80581,                0.20521,                0.31552,                0.08596,             0.00047053,             0.00047053,             0.00047053
